10_S10_L001_R1	S010_L001_R1
10_S10_L001_R2	S010_L001_R2
10_S10_L002_R1	S010_L002_R1
10_S10_L002_R2	S010_L002_R2
11_S11_L001_R1	S011_L001_R1
11_S11_L001_R2	S011_L001_R2
11_S11_L002_R1	S011_L002_R1
11_S11_L002_R2	S011_L002_R2
12_S12_L001_R1	S012_L001_R1
12_S12_L001_R2	S012_L001_R2
12_S12_L002_R1	S012_L002_R1
12_S12_L002_R2	S012_L002_R2
13_S13_L001_R1	S013_L001_R1
13_S13_L001_R2	S013_L001_R2
13_S13_L002_R1	S013_L002_R1
13_S13_L002_R2	S013_L002_R2
14_S14_L001_R1	S014_L001_R1
14_S14_L001_R2	S014_L001_R2
14_S14_L002_R1	S014_L002_R1
14_S14_L002_R2	S014_L002_R2
15_S15_L001_R1	S015_L001_R1
15_S15_L001_R2	S015_L001_R2
15_S15_L002_R1	S015_L002_R1
15_S15_L002_R2	S015_L002_R2
16_S16_L001_R1	S016_L001_R1
16_S16_L001_R2	S016_L001_R2
16_S16_L002_R1	S016_L002_R1
16_S16_L002_R2	S016_L002_R2
17_S17_L001_R1	S017_L001_R1
17_S17_L001_R2	S017_L001_R2
17_S17_L002_R1	S017_L002_R1
17_S17_L002_R2	S017_L002_R2
18_S18_L001_R1	S018_L001_R1
18_S18_L001_R2	S018_L001_R2
18_S18_L002_R1	S018_L002_R1
18_S18_L002_R2	S018_L002_R2
19_S19_L001_R1	S019_L001_R1
19_S19_L001_R2	S019_L001_R2
19_S19_L002_R1	S019_L002_R1
19_S19_L002_R2	S019_L002_R2
1_S1_L001_R1	S001_L001_R1
1_S1_L001_R2	S001_L001_R2
1_S1_L002_R1	S001_L002_R1
1_S1_L002_R2	S001_L002_R2
20_S20_L001_R1	S020_L001_R1
20_S20_L001_R2	S020_L001_R2
20_S20_L002_R1	S020_L002_R1
20_S20_L002_R2	S020_L002_R2
21_S21_L001_R1	S021_L001_R1
21_S21_L001_R2	S021_L001_R2
21_S21_L002_R1	S021_L002_R1
21_S21_L002_R2	S021_L002_R2
22_S22_L001_R1	S022_L001_R1
22_S22_L001_R2	S022_L001_R2
22_S22_L002_R1	S022_L002_R1
22_S22_L002_R2	S022_L002_R2
23_S23_L001_R1	S023_L001_R1
23_S23_L001_R2	S023_L001_R2
23_S23_L002_R1	S023_L002_R1
23_S23_L002_R2	S023_L002_R2
24_S24_L001_R1	S024_L001_R1
24_S24_L001_R2	S024_L001_R2
