01_004_Comrade_S1_L001_R1	S101_L001_R1
01_004_Comrade_S1_L001_R2	S101_L001_R2
01_004_Comrade_S1_L002_R1	S101_L002_R1
01_004_Comrade_S1_L002_R2	S101_L002_R2
01_004_Comrade_S1_L003_R1	S101_L003_R1
01_004_Comrade_S1_L003_R2	S101_L003_R2
01_004_Comrade_S1_L004_R1	S101_L004_R1
01_004_Comrade_S1_L004_R2	S101_L004_R2
02_009_NC20_S2_L001_R1	S102_L001_R1
02_009_NC20_S2_L001_R2	S102_L001_R2
02_009_NC20_S2_L002_R1	S102_L002_R1
02_009_NC20_S2_L002_R2	S102_L002_R2
02_009_NC20_S2_L003_R1	S102_L003_R1
02_009_NC20_S2_L003_R2	S102_L003_R2
02_009_NC20_S2_L004_R1	S102_L004_R1
02_009_NC20_S2_L004_R2	S102_L004_R2
03_018_Walton_S3_L001_R1	S103_L001_R1
03_018_Walton_S3_L001_R2	S103_L001_R2
03_018_Walton_S3_L002_R1	S103_L002_R1
03_018_Walton_S3_L002_R2	S103_L002_R2
03_018_Walton_S3_L003_R1	S103_L003_R1
03_018_Walton_S3_L003_R2	S103_L003_R2
03_018_Walton_S3_L004_R1	S103_L004_R1
03_018_Walton_S3_L004_R2	S103_L004_R2
04_021_N10066_S4_L001_R1	S104_L001_R1
04_021_N10066_S4_L001_R2	S104_L001_R2
04_021_N10066_S4_L002_R1	S104_L002_R1
04_021_N10066_S4_L002_R2	S104_L002_R2
04_021_N10066_S4_L003_R1	S104_L003_R1
04_021_N10066_S4_L003_R2	S104_L003_R2
04_021_N10066_S4_L004_R1	S104_L004_R1
04_021_N10066_S4_L004_R2	S104_L004_R2
05_024_N13031_S5_L001_R1	S105_L001_R1
05_024_N13031_S5_L001_R2	S105_L001_R2
05_024_N13031_S5_L002_R1	S105_L002_R1
05_024_N13031_S5_L002_R2	S105_L002_R2
05_024_N13031_S5_L003_R1	S105_L003_R1
05_024_N13031_S5_L003_R2	S105_L003_R2
05_024_N13031_S5_L004_R1	S105_L004_R1
05_024_N13031_S5_L004_R2	S105_L004_R2
06_027_N14001_S6_L001_R1	S106_L001_R1
06_027_N14001_S6_L001_R2	S106_L001_R2
06_027_N14001_S6_L002_R1	S106_L002_R1
06_027_N14001_S6_L002_R2	S106_L002_R2
06_027_N14001_S6_L003_R1	S106_L003_R1
06_027_N14001_S6_L003_R2	S106_L003_R2
06_027_N14001_S6_L004_R1	S106_L004_R1
06_027_N14001_S6_L004_R2	S106_L004_R2
07_028_N14002_S7_L001_R1	S107_L001_R1
07_028_N14002_S7_L001_R2	S107_L001_R2
07_028_N14002_S7_L002_R1	S107_L002_R1
07_028_N14002_S7_L002_R2	S107_L002_R2
07_028_N14002_S7_L003_R1	S107_L003_R1
07_028_N14002_S7_L003_R2	S107_L003_R2
07_028_N14002_S7_L004_R1	S107_L004_R1
07_028_N14002_S7_L004_R2	S107_L004_R2
08_029_N14004_S8_L001_R1	S108_L001_R1
08_029_N14004_S8_L001_R2	S108_L001_R2
08_029_N14004_S8_L002_R1	S108_L002_R1
08_029_N14004_S8_L002_R2	S108_L002_R2
08_029_N14004_S8_L003_R1	S108_L003_R1
08_029_N14004_S8_L003_R2	S108_L003_R2
08_029_N14004_S8_L004_R1	S108_L004_R1
08_029_N14004_S8_L004_R2	S108_L004_R2
09_030_N14007_S9_L001_R1	S109_L001_R1
09_030_N14007_S9_L001_R2	S109_L001_R2
09_030_N14007_S9_L002_R1	S109_L002_R1
09_030_N14007_S9_L002_R2	S109_L002_R2
09_030_N14007_S9_L003_R1	S109_L003_R1
09_030_N14007_S9_L003_R2	S109_L003_R2
09_030_N14007_S9_L004_R1	S109_L004_R1
09_030_N14007_S9_L004_R2	S109_L004_R2
10_031_N14009_S10_L001_R1	S110_L001_R1
10_031_N14009_S10_L001_R2	S110_L001_R2
10_031_N14009_S10_L002_R1	S110_L002_R1
10_031_N14009_S10_L002_R2	S110_L002_R2
10_031_N14009_S10_L003_R1	S110_L003_R1
10_031_N14009_S10_L003_R2	S110_L003_R2
10_031_N14009_S10_L004_R1	S110_L004_R1
10_031_N14009_S10_L004_R2	S110_L004_R2
11_034_N14039_S11_L001_R1	S111_L001_R1
11_034_N14039_S11_L001_R2	S111_L001_R2
11_034_N14039_S11_L002_R1	S111_L002_R1
11_034_N14039_S11_L002_R2	S111_L002_R2
11_034_N14039_S11_L003_R1	S111_L003_R1
11_034_N14039_S11_L003_R2	S111_L003_R2
